table,fig,section,name,translation,carpet,type,note
42,6,,Гошабуйнуз,Рога,Казах,Г.-К,Называется также «гошагуйрум»
43,1,,Кашы,Майолика Гадим,минарэ,К.-Ш,Взят из узора глазурованного кирпича.
43,2,,Няльбеки,Блюдце,Карабах,Кар.,Напоминает серебряную посуду.
43,3,,Бафталыгюль,Цветок с галунами,Карабах,Кар.,Взят из орнамента галунов.
43,4,,Джейнамаз,Молитвенная салфетка,Карабах,Кар.,
43,5,,Джутбуйнуз,Рога,Казах,Г.-К,Называют также «гоша гуйрум».
44,1,,Гюзгю,Зеркало,Ханлыг,Кар.,По форме напоминает серебряные карабахские зеркала.
44,2,,Кюпа,Большой кувшин,Ханлыг,Кар.,
44,3,,Керпич,Кирпич,Куба,К.-Ш,Взят с формы глазурованного кирпича.
44,4,,Тендир,Печь для хлеба,Казах,Г.-К,
44,5,,Гуту,Коробочка,Ханлыг,Кар.,Напоминает форму серебр. коробочки.
44,6,,Фыр-фыра,Юла,Сараб,Теб.,
44,7,,Наггаш,Тонкий узор,Карабах,Кар.,
44,8,,Бешик,Люлька,Казах,Г.-К,
44,9,,Елкен,Парус,Бакы,К.-Ш,
44,10,,?,,Фахралы,Г.-К,
44,11,,?,,Мугань,Кар.,
45,1,,Дамга,Клеймо,Карабах,Кар.,"Вероятно, это изображение начала медальона"
45,2,,Фыр,Юла,Ширван,К.-Ш,
45,3,,Чирах,Свеча,Ширван,К.-Ш,Напоминает висячую лампу.
45,4,,Лозу,Ромб,Карабах,Кар.,Встречается также в коврах ширванской группы.
45,5,,Юйрук,Люлька,Гашед,К.-Ш,"Носит символический характер (символ мечты, желания)."
45,6,,Лозу,Ромб,Карабах,Кар.,
45,7,,?,,Кобыстан,К.-Ш,Встречается также в карабахской группе.
45,8,,Дамга,Клеймо,Ширван,К.-Ш,
46,1,,Хал,Пятно,Гянджа,Г.-К,
46,2,,Кашыкерпич,Глазурованный кирпич,Куба,К.-Ш,Майоличное украшение.
46,3,,Дамга,Клеймо,Фахралы,Г.-К,
46,4,,Секкизбуджаг,Восьмиугольник,Конахкенд,К.-Ш,
46,5,,Гез,Глаз,Гянджа,Г.-К,"Видимо, это изображение монеты."
46,6,,Дюйме,Пуговица,Куба,К.-Ш,
46,7,,?,,Куба,К.-Ш,
46,8,,Мисмар,Гвоздь,Карабах,Кар.,"Этот элемент встречается в коврах типа Куба-Ширван (см. таб. 46, рис. 2)."
46,9,,?,,Гырыз,К.-Ш,
46,10,,Кашы,Майолика,Ширван,К.-Ш,
46,11,,Кашы,Майолика,Куба,К.-Ш,
46,12,,Кашы,Майолика,Ширван,К.-Ш,
46,13,,Керпич,Кирпич,Казах,Г.-К,Напоминает форму глазурованного кирпича.
46,14,,?,,Карабах,Кар.,
46,15,,Габ,Посуда,Караязы,Г.-К,
47,1,,Кармахлы,дамга Крючкообразное клеймо Казах Г.-К Этот элемент называют также,«гуйрум»,—,«вьющийся».
47,2,,Хелбир,Сито,Лемберан,Кар.,
47,3,,Алмакашы,Майоликовое яблоко,Чуханлы,К.-Ш,
47,4,,?,,Казах,Г.-К,
